order_id,request_date,promised_date,actual_fulfillment_date,requested_hours,team,region
1001,2024-01-02,2024-01-05,2024-01-04,16,Alpha,North
1002,2024-01-03,2024-01-06,2024-01-08,24,Beta,South
1003,2024-01-05,2024-01-07,2024-01-07,10,Alpha,West
1004,2024-01-08,2024-01-12,2024-01-11,32,Gamma,East
1005,2024-01-09,2024-01-13,2024-01-15,40,Beta,North
1006,2024-01-11,2024-01-14,2024-01-13,12,Alpha,South
1007,2024-01-12,2024-01-16,2024-01-18,20,Gamma,West
1008,2024-01-15,2024-01-20,2024-01-19,28,Beta,East
1009,2024-01-16,2024-01-22,2024-01-24,36,Alpha,North
1010,2024-01-18,2024-01-23,2024-01-22,18,Gamma,South
